date,level,storage,storage_pct,inflow,outflow,rainfall
2006-10-01,75.05,1293.0,35.47,0.0,0.0,0.0
2006-10-02,75.03,1289.0,35.36,0.0,0.0,0.0
2006-10-03,75.19,1317.0,36.13,324.0,0.0,49.0
2006-10-04,75.17,1314.0,36.05,0.0,0.0,0.0
2006-10-05,75.35,1344.0,36.87,347.0,0.0,57.0
2006-10-06,75.45,1361.0,37.34,197.0,0.0,9.0
2006-10-07,75.45,1361.0,37.34,23.0,0.0,9.0
2006-10-08,75.43,1358.0,37.26,0.0,0.0,0.0
2006-10-09,75.4,1353.0,37.12,0.0,0.0,0.0
2006-10-10,75.38,1349.0,37.01,0.0,0.0,0.0
2006-10-11,75.35,1344.0,36.87,0.0,0.0,0.0
2006-10-12,75.33,1341.0,36.79,0.0,0.0,0.0
2006-10-13,75.3,1336.0,36.65,0.0,0.0,0.0
2006-10-14,75.28,1332.0,36.54,0.0,0.0,0.0
2006-10-15,75.25,1327.0,36.41,0.0,10.0,0.0
2006-10-16,75.22,1322.0,36.27,0.0,10.0,0.0
2006-10-17,75.19,1317.0,36.13,0.0,10.0,0.0
2006-10-18,75.19,1317.0,36.13,59.0,10.0,22.0
2006-10-19,75.25,1327.0,36.41,126.0,10.0,26.0
2006-10-20,75.25,1327.0,36.41,0.0,0.0,4.0
2006-10-21,75.23,1324.0,36.32,0.0,0.0,0.0
2006-10-22,75.21,1321.0,36.24,0.0,0.0,0.0
2006-10-23,75.19,1317.0,36.13,0.0,0.0,0.0
2006-10-24,75.45,1361.0,37.34,0.0,0.0,32.0
2006-10-25,75.55,1379.0,37.83,208.0,0.0,11.0
2006-10-26,76.0,1459.0,40.03,926.0,0.0,94.0
2006-10-27,76.4,1531.0,42.0,833.0,0.0,48.0
2006-10-28,77.5,1739.0,47.71,2407.0,0.0,97.0
2006-10-29,78.4,1920.0,52.67,2094.0,0.0,87.0
2006-10-30,79.05,2058.0,56.46,1597.0,0.0,62.0
2006-10-31,79.15,2080.0,57.06,255.0,0.0,0.0
2006-11-01,79.3,2113.0,57.97,382.0,0.0,2.0
2006-11-02,79.4,2135.0,58.57,255.0,0.0,2.0
2006-11-03,79.45,2146.0,58.88,127.0,0.0,3.0
2006-11-04,79.55,2168.0,59.48,255.0,0.0,33.0
2006-11-05,79.55,2168.0,59.48,0.0,0.0,0.0
2006-11-06,79.55,2168.0,59.48,0.0,0.0,2.0
2006-11-07,79.6,2180.0,59.81,139.0,0.0,2.0
2006-11-08,79.8,2225.0,61.04,521.0,0.0,59.0
2006-11-09,79.85,2236.0,61.34,127.0,0.0,1.0
2006-11-10,79.9,2247.0,61.65,127.0,0.0,0.0
2006-11-11,79.9,2247.0,61.65,0.0,0.0,3.0
2006-11-12,79.9,2247.0,61.65,0.0,0.0,2.0
2006-11-13,79.95,2259.0,61.98,139.0,0.0,17.0
2006-11-14,80.0,2270.0,62.28,127.0,0.0,8.0
2006-11-15,80.05,2282.0,62.61,139.0,0.0,4.0
2006-11-16,80.15,2305.0,63.24,266.0,0.0,24.0
2006-11-17,80.16,2305.0,63.24,0.0,0.0,2.0
2006-11-18,80.2,2317.0,63.57,139.0,0.0,12.0
2006-11-19,80.75,2446.0,67.11,1493.0,0.0,61.0
2006-11-20,81.05,2518.0,69.08,833.0,0.0,14.0
2006-11-21,81.1,2530.0,69.41,139.0,0.0,0.0
2006-11-22,81.15,2542.0,69.74,139.0,0.0,0.0
2006-11-23,81.15,2542.0,69.74,0.0,0.0,0.0
2006-11-24,81.15,2542.0,69.74,0.0,0.0,0.0
2006-11-25,81.15,2542.0,69.74,0.0,0.0,0.0
2006-11-26,81.15,2542.0,69.74,0.0,0.0,0.0
