date,level,storage,storage_pct,inflow,outflow,rainfall
2007-07-02,73.55,1052.0,28.86,0.0,60.0,0.0
2007-07-03,73.48,1042.0,28.59,0.0,60.0,0.0
2007-07-04,73.42,1034.0,28.37,0.0,60.0,0.0
2007-07-05,73.36,1028.0,28.2,0.0,60.0,0.0
2007-07-06,73.3,1015.0,27.85,0.0,80.0,0.0
2007-07-07,73.24,1004.0,27.54,0.0,80.0,0.0
2007-07-08,73.18,993.0,27.24,0.0,80.0,0.0
2007-07-09,73.12,982.0,26.94,0.0,80.0,4.0
2007-07-10,73.06,972.0,26.67,0.0,80.0,0.0
2007-07-11,73.0,971.0,26.64,70.0,70.0,7.0
2007-07-12,73.1,985.0,27.02,232.0,70.0,22.0
2007-07-13,73.2,1000.0,27.43,244.0,70.0,25.0
2007-07-14,73.25,1007.0,27.63,151.0,70.0,10.0
2007-07-15,73.2,1000.0,27.43,0.0,70.0,0.0
2007-07-16,73.2,1000.0,27.43,70.0,70.0,7.0
2007-07-17,73.15,993.0,27.24,0.0,70.0,2.0
2007-07-18,73.1,985.0,27.02,0.0,70.0,3.0
2007-07-19,73.05,978.0,26.83,0.0,70.0,8.0
2007-07-20,73.0,971.0,26.64,0.0,70.0,0.0
2007-07-21,72.95,963.0,26.42,0.0,70.0,0.0
2007-07-22,72.9,956.0,26.23,0.0,70.0,9.0
2007-07-23,72.85,949.0,26.04,0.0,70.0,3.0
2007-07-24,72.8,942.0,25.84,0.0,70.0,10.0
2007-07-25,72.75,934.0,25.62,0.0,70.0,0.0
2007-07-26,72.7,927.0,25.43,0.0,70.0,0.0
2007-07-27,72.65,920.0,25.24,0.0,70.0,0.0
2007-07-28,72.75,934.0,25.62,242.0,70.0,36.0
2007-07-29,72.75,934.0,25.62,70.0,70.0,10.0
2007-07-30,72.8,942.0,25.84,163.0,70.0,22.0
2007-07-31,72.75,934.0,25.62,0.0,70.0,2.0
2007-08-01,72.8,942.0,25.84,168.0,70.0,22.0
2007-08-02,72.8,942.0,25.84,70.0,70.0,15.0
2007-08-03,72.75,934.0,25.62,0.0,70.0,0.0
2007-08-04,72.7,927.0,25.43,0.0,70.0,0.0
2007-08-05,72.65,920.0,25.24,0.0,70.0,0.0
2007-08-06,72.6,913.0,25.05,0.0,70.0,0.0
2007-08-07,72.55,906.0,24.86,0.0,70.0,0.0
2007-08-08,72.5,899.0,24.66,0.0,70.0,0.0
2007-08-09,72.45,892.0,24.47,0.0,70.0,0.0
2007-08-10,72.4,885.0,24.28,0.0,70.0,0.0
2007-08-11,72.35,878.0,24.09,0.0,70.0,0.0
2007-08-12,72.35,878.0,24.09,70.0,70.0,10.0
2007-08-13,72.3,871.0,23.9,0.0,70.0,0.0
2007-08-14,72.25,864.0,23.7,0.0,70.0,0.0
2007-08-15,72.35,877.0,24.06,221.0,70.0,0.0
2007-08-16,72.45,892.0,24.47,244.0,70.0,0.0
2007-08-17,72.6,913.0,25.05,313.0,70.0,15.0
2007-08-18,72.75,934.0,25.62,314.0,70.0,15.0
2007-08-19,72.8,956.0,26.23,325.0,70.0,33.0
2007-08-20,73.05,978.0,26.83,325.0,70.0,0.0
2007-08-21,73.15,993.0,27.24,244.0,70.0,0.0
2007-08-22,73.25,1007.0,27.63,232.0,70.0,4.0
2007-08-23,73.35,1022.0,28.04,244.0,70.0,5.0
2007-08-24,73.45,1036.0,28.42,240.0,70.0,2.0
2007-08-25,73.55,1052.0,28.86,240.0,70.0,0.0
2007-08-26,73.65,1068.0,29.3,250.0,70.0,26.0
2007-08-27,73.75,1083.0,29.71,245.0,70.0,0.0
2007-08-28,73.85,1098.0,30.12,245.0,70.0,0.0
2007-08-29,73.95,1114.0,30.56,250.0,70.0,0.0
2007-08-30,74.1,1137.0,31.19,335.0,70.0,15.0
2007-08-31,74.2,1154.0,31.66,265.0,70.0,5.0
2007-09-01,74.25,1162.0,31.88,163.0,70.0,11.0
2007-09-02,74.25,1162.0,31.88,70.0,70.0,0.0
2007-09-03,74.32,1172.0,32.15,160.0,70.0,13.0
2007-09-04,74.3,1169.0,32.07,35.0,70.0,0.0
2007-09-05,74.4,1185.0,32.51,185.0,70.0,3.0
2007-09-06,74.6,1218.0,33.42,450.0,70.0,26.0
2007-09-07,74.7,1235.0,33.88,195.0,70.0,0.0
2007-09-08,74.8,1251.0,34.32,185.0,70.0,0.0
2007-09-09,74.9,1267.0,34.76,185.0,70.0,0.0
2007-09-10,75.0,1283.0,35.2,160.0,70.0,0.0
2007-09-11,75.1,1302.0,35.72,220.0,70.0,0.0
2007-09-12,75.2,1319.0,36.19,195.0,70.0,0.0
2007-09-13,75.3,1336.0,36.65,265.0,70.0,0.0
2007-09-14,75.45,1362.0,37.37,370.0,70.0,22.0
2007-09-15,75.55,1379.0,37.83,265.0,70.0,16.0
2007-09-16,75.7,1406.0,38.57,310.0,70.0,17.0
2007-09-17,75.8,1424.0,39.07,275.0,70.0,2.0
2007-09-18,75.85,1432.0,39.29,160.0,70.0,0.0
2007-09-19,75.9,1441.0,39.53,174.0,70.0,7.0
2007-09-20,75.92,1445.0,39.64,115.0,70.0,0.0
2007-09-21,76.0,1459.0,40.03,232.0,70.0,0.0
2007-09-22,76.1,1477.0,40.52,205.0,70.0,0.0
2007-09-23,76.13,1486.0,40.77,160.0,70.0,0.0
2007-09-24,76.2,1495.0,41.02,160.0,70.0,0.0
2007-09-25,76.25,1504.0,41.26,160.0,70.0,0.0
2007-09-26,76.3,1513.0,41.51,160.0,70.0,0.0
2007-09-27,76.35,1522.0,41.76,160.0,70.0,0.0
2007-09-28,76.55,1559.0,42.77,495.0,70.0,35.0
