date,level,storage,storage_pct,inflow,outflow,rainfall
2008-07-01,78.64,1971.0,54.07,0.0,80.0,0.0
2008-07-02,78.6,1962.0,53.83,0.0,80.0,0.0
2008-07-03,78.56,1954.0,53.61,0.0,80.0,0.0
2008-07-04,78.53,1947.0,53.42,0.0,80.0,9.0
2008-07-05,78.49,1939.0,53.2,0.0,80.0,0.0
2008-07-06,78.46,1932.0,53.0,0.0,80.0,0.0
2008-07-07,78.42,1924.0,52.78,0.0,80.0,0.0
2008-07-08,78.38,1916.0,52.57,0.0,80.0,0.0
2008-07-09,78.34,1908.0,52.35,0.0,80.0,0.0
2008-07-10,78.31,1901.0,52.15,0.0,80.0,14.0
2008-07-11,78.27,1893.0,51.93,0.0,80.0,0.0
2008-07-12,78.23,1885.0,51.71,0.0,80.0,0.0
2008-07-13,78.19,1877.0,51.5,0.0,80.0,2.0
2008-07-14,78.15,1869.0,51.28,0.0,80.0,0.0
2008-07-15,78.11,1861.0,51.06,0.0,80.0,0.0
2008-07-16,78.07,1852.0,50.81,0.0,80.0,0.0
2008-07-17,78.03,1843.0,50.56,0.0,80.0,0.0
2008-07-18,77.99,1835.0,50.34,0.0,80.0,0.0
2008-07-19,77.95,1827.0,50.12,0.0,80.0,0.0
2008-07-20,77.91,1819.0,49.9,0.0,80.0,0.0
2008-07-21,77.87,1811.0,49.68,0.0,80.0,0.0
2008-07-22,77.83,1803.0,49.47,0.0,80.0,0.0
2008-07-23,77.79,1795.0,49.25,0.0,80.0,0.0
2008-07-24,77.75,1788.0,49.05,0.0,80.0,0.0
2008-07-25,77.71,1780.0,48.83,0.0,80.0,0.0
2008-07-26,77.67,1772.0,48.61,0.0,80.0,0.0
2008-07-27,77.63,1764.0,48.4,0.0,80.0,3.0
2008-07-28,77.63,1764.0,48.4,80.0,80.0,13.0
2008-07-29,77.6,1758.0,48.23,0.0,80.0,4.0
2008-07-30,77.56,1750.0,48.01,0.0,80.0,0.0
2008-07-31,77.52,1742.0,47.79,0.0,80.0,0.0
2008-08-01,77.48,1734.0,47.57,0.0,80.0,0.0
2008-08-02,77.44,1726.0,47.35,0.0,80.0,0.0
2008-08-03,77.4,1718.0,47.13,0.0,80.0,0.0
2008-08-04,77.36,1711.0,46.94,0.0,80.0,7.0
2008-08-05,77.32,1703.0,46.72,0.0,80.0,0.0
2008-08-06,77.28,1695.0,46.5,0.0,80.0,0.0
2008-08-07,77.24,1687.0,46.28,0.0,80.0,0.0
2008-08-08,77.19,1678.0,46.04,0.0,80.0,0.0
2008-08-09,77.19,1678.0,46.04,80.0,80.0,27.0
2008-08-10,77.14,1669.0,45.79,0.0,80.0,0.0
2008-08-11,77.09,1660.0,45.54,0.0,80.0,0.0
2008-08-12,77.04,1650.0,45.27,0.0,80.0,0.0
2008-08-13,76.99,1640.0,44.99,0.0,80.0,0.0
2008-08-14,76.94,1631.0,44.75,0.0,80.0,0.0
2008-08-15,76.89,1621.0,44.47,0.0,80.0,0.0
2008-08-16,76.84,1611.0,44.2,0.0,80.0,0.0
2008-08-17,76.79,1602.0,43.95,0.0,80.0,0.0
2008-08-18,76.79,1602.0,43.95,80.0,80.0,15.0
2008-08-19,76.74,1593.0,43.7,0.0,80.0,0.0
2008-08-20,76.74,1593.0,43.7,80.0,80.0,15.0
2008-08-21,76.69,1584.0,43.46,0.0,80.0,0.0
2008-08-22,76.64,1575.0,43.21,0.0,80.0,0.0
2008-08-23,76.59,1566.0,42.96,0.0,80.0,0.0
2008-08-24,76.54,1557.0,42.72,0.0,80.0,0.0
2008-08-25,76.46,1548.0,42.47,0.0,80.0,0.0
2008-08-26,76.44,1539.0,42.22,0.0,80.0,0.0
2008-08-27,76.39,1529.0,41.95,0.0,80.0,0.0
2008-08-28,76.34,1520.0,41.7,0.0,80.0,0.0
2008-08-29,76.29,1511.0,41.45,0.0,80.0,0.0
2008-08-30,76.24,1502.0,41.21,0.0,80.0,0.0
2008-08-31,76.19,1493.0,40.96,0.0,80.0,0.0
2008-09-01,76.14,1484.0,40.71,0.0,80.0,0.0
2008-09-02,76.09,1475.0,40.47,0.0,80.0,4.0
2008-09-03,76.04,1466.0,40.22,0.0,80.0,0.0
2008-09-04,75.99,1457.0,39.97,0.0,80.0,3.0
2008-09-05,75.94,1448.0,39.73,0.0,80.0,0.0
2008-09-06,75.89,1439.0,39.48,0.0,80.0,0.0
2008-09-07,75.84,1430.0,39.23,0.0,80.0,0.0
2008-09-08,75.84,1430.0,39.23,80.0,80.0,50.0
2008-09-09,75.79,1422.0,39.01,0.0,80.0,0.0
2008-09-10,75.74,1412.0,38.74,0.0,80.0,0.0
2008-09-11,75.69,1403.0,38.49,0.0,80.0,0.0
2008-09-12,75.64,1395.0,38.27,0.0,80.0,0.0
2008-09-13,75.59,1386.0,38.02,0.0,80.0,0.0
2008-09-14,75.54,1377.0,37.78,0.0,80.0,0.0
2008-09-15,75.49,1368.0,37.53,0.0,80.0,8.0
2008-09-16,75.44,1359.0,37.28,0.0,80.0,0.0
2008-09-17,75.39,1351.0,37.06,0.0,80.0,0.0
2008-09-18,75.34,1342.0,36.82,0.0,80.0,0.0
2008-09-19,75.29,1334.0,36.6,0.0,80.0,0.0
2008-09-20,75.24,1325.0,36.35,0.0,80.0,0.0
2008-09-21,75.19,1316.0,36.1,0.0,80.0,3.0
2008-09-22,75.14,1308.0,35.88,0.0,80.0,0.0
2008-09-23,75.09,1300.0,35.67,0.0,80.0,0.0
2008-09-24,75.04,1291.0,35.42,0.0,80.0,0.0
2008-09-25,75.04,1291.0,35.42,80.0,80.0,25.0
2008-09-26,74.99,1282.0,35.17,0.0,80.0,0.0
2008-09-27,74.94,1274.0,34.95,0.0,80.0,0.0
2008-09-28,74.89,1266.0,34.73,0.0,80.0,0.0
2008-09-29,74.84,1257.0,34.49,0.0,80.0,0.0
