date,level,storage,storage_pct,inflow,outflow,rainfall
2009-04-02,82.68,2929.0,80.36,120.0,80.0,0.0
2009-04-03,82.68,2929.0,80.36,120.0,80.0,0.0
2009-04-04,82.68,2929.0,80.36,120.0,80.0,0.0
2009-04-05,82.68,2929.0,80.36,120.0,80.0,0.0
2009-04-06,82.68,2929.0,80.36,120.0,80.0,0.0
2009-04-07,82.65,2921.0,80.14,0.0,80.0,0.0
2009-04-08,82.6,2907.0,79.75,0.0,80.0,0.0
2009-04-09,82.54,2892.0,79.34,0.0,100.0,0.0
2009-04-10,82.49,2878.0,78.96,0.0,100.0,0.0
2009-04-11,82.43,2861.0,78.49,0.0,100.0,0.0
2009-04-12,82.37,2848.0,78.13,0.0,100.0,0.0
2009-04-13,82.31,2832.0,77.7,0.0,100.0,0.0
2009-04-14,82.25,2817.0,77.28,0.0,100.0,0.0
2009-04-15,82.19,2802.0,76.87,0.0,100.0,0.0
2009-04-16,82.13,2786.0,76.43,0.0,100.0,0.0
2009-04-17,82.07,2771.0,76.02,0.0,100.0,0.0
2009-04-18,82.01,2756.0,75.61,0.0,100.0,0.0
2009-04-19,81.95,2740.0,75.17,0.0,100.0,0.0
2009-04-20,81.89,2725.0,74.76,0.0,100.0,0.0
2009-04-21,81.83,2710.0,74.35,0.0,100.0,0.0
2009-04-22,81.77,2695.0,73.94,0.0,100.0,0.0
2009-04-23,81.71,2680.0,73.53,0.0,100.0,0.0
2009-04-24,81.65,2665.0,73.11,0.0,100.0,0.0
2009-04-25,81.59,2650.0,72.7,0.0,100.0,0.0
2009-04-26,81.53,2635.0,72.29,0.0,100.0,0.0
2009-04-27,81.47,2620.0,71.88,0.0,100.0,0.0
2009-04-28,81.41,2605.0,71.47,0.0,100.0,0.0
2009-04-29,81.35,2590.0,71.06,0.0,100.0,0.0
2009-04-30,81.29,2575.0,70.64,0.0,100.0,0.0
2009-05-01,81.23,2560.0,70.23,0.0,100.0,0.0
2009-05-02,81.17,2546.0,69.85,0.0,100.0,0.0
2009-05-03,81.11,2532.0,69.47,0.0,100.0,0.0
2009-05-04,81.05,2517.0,69.05,0.0,100.0,0.0
2009-05-05,80.99,2502.0,68.64,0.0,100.0,1.0
2009-05-06,80.93,2487.0,68.23,0.0,105.0,0.0
2009-05-07,80.87,2472.0,67.82,0.0,105.0,0.0
2009-05-08,80.81,2458.0,67.43,0.0,105.0,0.0
2009-05-09,80.75,2444.0,67.05,0.0,105.0,0.0
2009-05-10,80.69,2429.0,66.64,0.0,105.0,0.0
2009-05-11,80.63,2415.0,66.26,0.0,105.0,0.0
2009-05-12,80.57,2401.0,65.87,0.0,105.0,0.0
2009-05-13,80.51,2384.0,65.4,0.0,105.0,0.0
2009-05-14,80.44,2372.0,65.08,0.0,105.0,0.0
2009-05-15,80.38,2358.0,64.69,0.0,105.0,0.0
2009-05-16,80.32,2344.0,64.31,0.0,105.0,2.0
2009-05-17,80.26,2330.0,63.92,0.0,105.0,0.0
2009-05-18,80.2,2316.0,63.54,0.0,105.0,0.0
2009-05-19,80.13,2300.0,63.1,0.0,110.0,0.0
2009-05-20,80.06,2284.0,62.66,0.0,110.0,0.0
2009-05-21,79.99,2268.0,62.22,0.0,110.0,0.0
2009-05-22,79.92,2252.0,61.78,0.0,110.0,0.0
2009-05-23,79.85,2236.0,61.34,0.0,110.0,0.0
2009-05-24,79.78,2220.0,60.91,0.0,110.0,1.0
2009-05-25,79.71,2204.0,60.47,0.0,110.0,0.0
2009-05-26,79.62,2184.0,59.92,0.0,120.0,0.0
2009-05-27,79.53,2164.0,59.37,0.0,120.0,0.0
2009-05-28,79.44,2144.0,58.82,0.0,140.0,0.0
2009-05-29,79.35,2124.0,58.27,0.0,140.0,0.0
2009-05-30,79.26,2104.0,57.72,0.0,140.0,0.0
2009-05-31,79.17,2084.0,57.17,0.0,140.0,0.0
2009-06-01,79.08,2064.0,56.63,0.0,140.0,0.0
2009-06-02,78.99,2044.0,56.08,0.0,140.0,0.0
2009-06-03,78.9,2024.0,55.53,0.0,140.0,0.0
2009-06-04,78.81,2004.0,54.98,0.0,140.0,0.0
2009-06-05,78.71,1985.0,54.46,0.0,140.0,0.0
2009-06-06,78.61,1964.0,53.88,0.0,140.0,0.0
2009-06-07,78.51,1943.0,53.31,0.0,150.0,0.0
2009-06-08,78.41,1922.0,52.73,0.0,150.0,0.0
2009-06-09,78.31,1901.0,52.15,0.0,150.0,0.0
2009-06-10,78.21,1880.0,51.58,0.0,150.0,0.0
2009-06-11,78.11,1859.0,51.0,0.0,150.0,0.0
2009-06-12,78.01,1839.0,50.45,0.0,150.0,0.0
2009-06-13,77.91,1819.0,49.9,0.0,150.0,0.0
2009-06-14,77.81,1799.0,49.36,0.0,150.0,0.0
2009-06-15,77.71,1779.0,48.81,0.0,150.0,0.0
2009-06-16,77.61,1759.0,48.26,0.0,150.0,3.0
2009-06-17,77.51,1739.0,47.71,0.0,150.0,0.0
2009-06-18,77.41,1720.0,47.19,0.0,150.0,0.0
2009-06-19,77.31,1701.0,46.67,0.0,150.0,0.0
2009-06-20,77.21,1682.0,46.15,0.0,150.0,0.0
2009-06-21,77.11,1663.0,45.62,0.0,150.0,3.0
2009-06-22,77.01,1644.0,45.1,0.0,150.0,0.0
2009-06-23,76.91,1624.0,44.55,0.0,150.0,0.0
2009-06-24,76.81,1605.0,44.03,0.0,150.0,0.0
2009-06-25,76.71,1586.0,43.51,0.0,150.0,0.0
2009-06-26,76.61,1567.0,42.99,0.0,150.0,2.0
2009-06-27,76.51,1551.0,42.55,0.0,150.0,0.0
2009-06-28,76.41,1533.0,42.06,0.0,150.0,13.0
2009-06-29,76.31,1515.0,41.56,0.0,150.0,1.0
2009-06-30,76.21,1496.0,41.04,0.0,150.0,0.0
2009-07-01,76.11,1478.0,40.55,0.0,150.0,0.0
