date,level,storage,storage_pct,inflow,outflow,rainfall
2010-07-02,78.16,1871.0,51.33,0.0,110.0,0.0
2010-07-03,78.11,1861.0,51.06,0.0,110.0,0.0
2010-07-04,78.06,1851.0,50.78,0.0,110.0,0.0
2010-07-05,78.01,1840.0,50.48,0.0,110.0,4.0
2010-07-06,78.01,1840.0,50.48,110.0,110.0,4.0
2010-07-07,78.01,1840.0,50.48,110.0,110.0,11.0
2010-07-08,77.96,1830.0,50.21,0.0,110.0,3.0
2010-07-09,77.91,1820.0,49.93,0.0,110.0,0.0
2010-07-10,77.86,1810.0,49.66,0.0,110.0,0.0
2010-07-11,77.81,1800.0,49.38,0.0,110.0,0.0
2010-07-12,77.76,1790.0,49.11,0.0,110.0,0.0
2010-07-13,77.76,1790.0,49.11,110.0,110.0,24.0
2010-07-14,77.71,1780.0,48.83,0.0,110.0,0.0
2010-07-15,77.66,1770.0,48.56,0.0,110.0,0.0
2010-07-16,77.61,1760.0,48.29,0.0,110.0,0.0
2010-07-17,77.56,1750.0,48.01,0.0,110.0,4.0
2010-07-18,77.56,1750.0,48.01,110.0,110.0,18.0
2010-07-19,77.56,1750.0,48.01,110.0,110.0,7.0
2010-07-20,77.51,1740.0,47.74,0.0,110.0,3.0
2010-07-21,77.51,1740.0,47.74,110.0,110.0,10.0
2010-07-22,77.46,1730.0,47.46,0.0,110.0,3.0
2010-07-23,77.4,1719.0,47.16,0.0,130.0,0.0
2010-07-24,77.34,1708.0,46.86,0.0,130.0,0.0
2010-07-25,77.28,1697.0,46.56,0.0,130.0,0.0
2010-07-26,77.22,1686.0,46.26,0.0,130.0,0.0
2010-07-27,77.17,1675.0,45.95,0.0,130.0,0.0
2010-07-28,77.17,1675.0,45.95,130.0,130.0,6.0
2010-07-29,77.12,1666.0,45.71,0.0,105.0,2.0
2010-07-30,77.12,1666.0,45.71,105.0,105.0,13.0
2010-07-31,77.07,1656.0,45.43,0.0,115.0,0.0
2010-08-01,77.02,1646.0,45.16,0.0,115.0,0.0
2010-08-02,76.97,1637.0,44.91,0.0,105.0,0.0
2010-08-03,76.92,1628.0,44.66,0.0,105.0,0.0
2010-08-04,76.87,1619.0,44.42,0.0,105.0,0.0
2010-08-05,76.82,1610.0,44.17,0.0,105.0,0.0
2010-08-06,76.77,1601.0,43.92,0.0,105.0,0.0
2010-08-07,76.72,1592.0,43.68,0.0,105.0,0.0
2010-08-08,76.67,1583.0,43.43,0.0,105.0,0.0
2010-08-09,76.67,1583.0,43.43,105.0,105.0,12.0
2010-08-10,76.63,1574.0,43.18,0.0,105.0,0.0
2010-08-11,76.58,1565.0,42.94,0.0,105.0,0.0
2010-08-12,76.53,1556.0,42.69,0.0,105.0,0.0
2010-08-13,76.48,1546.0,42.41,0.0,105.0,0.0
2010-08-14,76.48,1546.0,42.41,105.0,105.0,5.0
2010-08-15,76.43,1537.0,42.17,0.0,105.0,0.0
2010-08-16,76.38,1528.0,41.92,0.0,105.0,0.0
2010-08-17,76.33,1519.0,41.67,0.0,105.0,0.0
2010-08-18,76.48,1546.0,42.41,417.0,105.0,68.0
2010-08-19,76.7,1587.0,43.54,570.0,95.0,35.0
2010-08-20,76.79,1604.0,44.01,287.0,95.0,0.0
2010-08-21,76.91,1626.0,44.61,350.0,95.0,25.0
2010-08-22,77.13,1668.0,45.76,581.0,95.0,63.0
2010-08-23,77.31,1702.0,46.69,469.0,75.0,38.0
2010-08-24,77.55,1749.0,47.98,619.0,75.0,27.0
2010-08-25,77.6,1759.0,48.26,191.0,75.0,12.0
2010-08-26,77.6,1759.0,48.26,75.0,75.0,0.0
2010-08-27,77.6,1759.0,48.26,75.0,75.0,0.0
2010-08-28,77.56,1751.0,48.04,0.0,95.0,0.0
2010-08-29,77.52,1743.0,47.82,0.0,93.0,0.0
2010-08-30,77.48,1735.0,47.6,0.0,95.0,2.0
2010-08-31,77.48,1735.0,47.6,95.0,95.0,9.0
2010-09-01,77.44,1727.0,47.38,0.0,95.0,0.0
2010-09-02,77.4,1719.0,47.16,0.0,93.0,0.0
2010-09-03,77.36,1711.0,46.94,0.0,93.0,3.0
2010-09-04,77.32,1703.0,46.72,0.0,93.0,0.0
2010-09-05,77.32,1703.0,46.72,93.0,93.0,16.0
2010-09-06,77.32,1703.0,46.72,93.0,93.0,8.0
2010-09-07,77.28,1695.0,46.5,93.0,93.0,0.0
2010-09-08,77.23,1687.0,46.28,0.0,93.0,0.0
2010-09-09,77.19,1679.0,46.06,0.0,93.0,0.0
2010-09-10,77.23,1687.0,46.28,186.0,93.0,39.0
2010-09-11,77.23,1687.0,46.28,93.0,93.0,3.0
2010-09-12,77.19,1679.0,46.06,93.0,93.0,0.0
2010-09-13,77.19,1679.0,46.06,93.0,93.0,2.0
2010-09-14,77.19,1679.0,46.06,93.0,93.0,5.0
2010-09-15,77.15,1671.0,45.84,0.0,93.0,0.0
2010-09-16,77.11,1663.0,45.62,0.0,93.0,0.0
2010-09-17,77.07,1655.0,45.4,0.0,93.0,0.0
2010-09-18,77.03,1647.0,45.19,0.0,93.0,0.0
2010-09-19,76.99,1639.0,44.97,0.0,93.0,0.0
2010-09-20,76.94,1631.0,44.75,0.0,93.0,0.0
2010-09-21,76.89,1623.0,44.53,0.0,93.0,0.0
2010-09-22,76.85,1615.0,44.31,0.0,93.0,0.0
2010-09-23,76.81,1607.0,44.09,0.0,93.0,0.0
2010-09-24,76.77,1599.0,43.87,0.0,93.0,0.0
2010-09-25,76.72,1591.0,43.65,0.0,93.0,0.0
2010-09-26,76.72,1591.0,43.65,93.0,93.0,15.0
2010-09-27,76.68,1583.0,43.43,0.0,93.0,2.0
2010-09-28,76.68,1583.0,43.43,93.0,93.0,5.0
2010-09-29,76.64,1575.0,43.21,0.0,90.0,0.0
2010-09-30,76.6,1568.0,43.02,0.0,90.0,0.0
