date,level,storage,storage_pct,inflow,outflow,rainfall
2011-04-02,79.66,2193.0,60.16,0.0,190.0,0.0
2011-04-03,79.58,2176.0,59.7,0.0,190.0,0.0
2011-04-04,79.51,2159.0,59.23,0.0,190.0,0.0
2011-04-05,79.44,2143.0,58.79,0.0,190.0,0.0
2011-04-06,79.36,2126.0,58.33,0.0,190.0,0.0
2011-04-07,79.28,2109.0,57.86,0.0,190.0,0.0
2011-04-08,79.21,2092.0,57.39,0.0,190.0,0.0
2011-04-09,79.13,2075.0,56.93,0.0,190.0,0.0
2011-04-10,79.05,2058.0,56.46,0.0,190.0,0.0
2011-04-11,78.97,2041.0,55.99,0.0,190.0,0.0
2011-04-12,78.89,2024.0,55.53,0.0,190.0,0.0
2011-04-13,78.81,2007.0,55.06,0.0,190.0,0.0
2011-04-14,78.73,1990.0,54.6,0.0,190.0,0.0
2011-04-15,78.65,1973.0,54.13,0.0,190.0,0.0
2011-04-16,78.57,1956.0,53.66,0.0,190.0,0.0
2011-04-17,78.49,1939.0,53.2,0.0,190.0,0.0
2011-04-18,78.41,1922.0,52.73,0.0,190.0,0.0
2011-04-19,78.33,1905.0,52.26,0.0,190.0,0.0
2011-04-20,78.25,1888.0,51.8,0.0,190.0,0.0
2011-04-21,78.16,1871.0,51.33,0.0,190.0,0.0
2011-04-22,78.09,1856.0,50.92,0.0,175.0,5.0
2011-04-23,78.03,1844.0,50.59,0.0,175.0,2.0
2011-04-24,77.94,1826.0,50.1,0.0,175.0,0.0
2011-04-25,77.86,1811.0,49.68,0.0,175.0,0.0
2011-04-26,77.79,1796.0,49.27,0.0,175.0,0.0
2011-04-27,77.71,1781.0,48.86,0.0,175.0,0.0
2011-04-28,77.64,1766.0,48.45,0.0,175.0,0.0
2011-04-29,77.56,1751.0,48.04,0.0,175.0,0.0
2011-04-30,77.48,1735.0,47.6,0.0,175.0,0.0
2011-05-01,77.4,1719.0,47.16,0.0,175.0,0.0
2011-05-02,77.32,1704.0,46.75,0.0,175.0,0.0
2011-05-03,77.24,1689.0,46.34,0.0,175.0,0.0
2011-05-04,77.24,1689.0,46.34,175.0,175.0,0.0
2011-05-05,77.26,1693.0,46.45,200.0,175.0,0.0
2011-05-06,77.28,1697.0,46.56,200.0,175.0,0.0
2011-05-07,77.31,1701.0,46.67,200.0,160.0,0.0
2011-05-08,77.33,1705.0,46.78,200.0,160.0,0.0
2011-05-09,77.35,1709.0,46.89,200.0,160.0,0.0
2011-05-10,77.37,1713.0,47.0,200.0,160.0,0.0
2011-05-11,77.39,1717.0,47.11,200.0,160.0,0.0
2011-05-12,77.41,1721.0,47.22,200.0,160.0,0.0
2011-05-13,77.43,1725.0,47.33,200.0,160.0,0.0
2011-05-14,77.45,1729.0,47.43,200.0,160.0,0.0
2011-05-15,77.47,1733.0,47.54,200.0,160.0,0.0
2011-05-16,77.49,1737.0,47.65,200.0,160.0,0.0
2011-05-17,77.51,1741.0,47.76,200.0,160.0,0.0
2011-05-18,77.53,1745.0,47.87,200.0,160.0,0.0
2011-05-19,77.55,1749.0,47.98,200.0,160.0,0.0
2011-05-20,77.57,1753.0,48.09,200.0,160.0,0.0
2011-05-21,77.73,1784.0,48.94,559.0,160.0,45.0
2011-05-22,77.81,1800.0,49.38,385.0,170.0,3.0
2011-05-23,77.82,1802.0,49.44,190.0,170.0,0.0
2011-05-24,77.84,1806.0,49.55,190.0,170.0,0.0
2011-05-25,77.85,1808.0,49.6,190.0,170.0,0.0
2011-05-26,77.86,1810.0,49.66,190.0,170.0,0.0
2011-05-27,77.87,1812.0,49.71,190.0,170.0,0.0
2011-05-28,77.88,1814.0,49.77,190.0,170.0,0.0
2011-05-29,77.89,1816.0,49.82,190.0,170.0,0.0
2011-05-30,77.9,1818.0,49.88,190.0,170.0,0.0
2011-05-31,77.91,1820.0,49.93,190.0,170.0,0.0
2011-06-01,77.92,1822.0,49.99,190.0,170.0,0.0
2011-06-02,78.06,1850.0,50.75,515.0,170.0,40.0
2011-06-03,78.16,1871.0,51.33,433.0,170.0,0.0
2011-06-04,78.2,1879.0,51.55,283.0,170.0,0.0
2011-06-05,78.21,1881.0,51.6,190.0,170.0,0.0
2011-06-06,78.22,1883.0,51.66,190.0,170.0,0.0
2011-06-07,78.27,1893.0,51.93,306.0,170.0,22.0
2011-06-08,78.26,1891.0,51.88,60.0,170.0,0.0
2011-06-09,78.24,1887.0,51.77,60.0,170.0,0.0
