date,level,storage,storage_pct,inflow,outflow,rainfall
2012-09-30,74.56,1212.0,33.25,0.0,150.0,0.0
2012-10-01,74.48,1199.0,32.89,0.0,150.0,3.0
2012-10-02,74.41,1186.0,32.54,0.0,150.0,0.0
2012-10-03,74.32,1173.0,32.18,0.0,150.0,0.0
2012-10-04,74.24,1160.0,31.82,0.0,150.0,0.0
2012-10-05,74.16,1147.0,31.47,0.0,150.0,0.0
2012-10-06,74.08,1134.0,31.11,0.0,150.0,0.0
2012-10-07,74.01,1124.0,30.84,35.0,150.0,12.5
2012-10-08,73.93,1111.0,30.48,0.0,150.0,0.0
2012-10-09,73.85,1098.0,30.12,0.0,150.0,0.0
2012-10-10,73.76,1085.0,29.77,0.0,150.0,0.0
2012-10-11,73.68,1072.0,29.41,0.0,150.0,0.0
2012-10-12,73.59,1059.0,29.05,0.0,150.0,0.0
2012-10-13,73.51,1046.0,28.7,0.0,150.0,0.0
2012-10-14,73.42,1033.0,28.34,0.0,150.0,0.0
2012-10-15,73.34,1020.0,27.98,0.0,150.0,0.0
2012-10-16,73.25,1007.0,27.63,0.0,150.0,3.0
2012-10-17,73.18,997.0,27.35,35.0,150.0,9.0
2012-10-18,73.27,1010.0,27.71,300.0,150.0,11.0
2012-10-19,73.47,1040.0,28.53,497.0,150.0,36.5
2012-10-20,73.65,1068.0,29.3,474.0,150.0,45.5
2012-10-21,73.7,1075.0,29.49,231.0,150.0,25.0
2012-10-22,73.77,1086.0,29.79,277.0,150.0,27.0
2012-10-23,73.77,1086.0,29.79,150.0,150.0,5.0
2012-10-24,73.85,1098.0,30.12,259.0,120.0,12.0
2012-10-25,73.85,1098.0,30.12,90.0,90.0,3.0
2012-10-26,73.85,1098.0,30.12,90.0,90.0,0.0
2012-10-27,73.85,1098.0,30.12,90.0,90.0,0.0
2012-10-28,73.82,1093.0,29.99,35.0,90.0,0.0
2012-10-29,73.76,1085.0,29.77,0.0,90.0,0.0
2012-10-30,73.71,1077.0,29.55,0.0,90.0,3.0
2012-10-31,74.25,1161.0,31.85,1062.0,90.0,71.0
2012-11-01,74.45,1193.0,32.73,460.0,90.0,19.0
2012-11-02,74.55,1210.0,33.2,287.0,90.0,0.0
2012-11-03,74.72,1238.0,33.96,414.0,90.0,20.0
2012-11-04,74.8,1251.0,34.32,240.0,90.0,3.0
2012-11-05,74.9,1268.0,34.79,287.0,90.0,0.0
2012-11-06,74.96,1278.0,35.06,206.0,90.0,0.0
2012-11-07,75.0,1283.0,35.2,148.0,90.0,0.0
2012-11-08,75.02,1288.0,35.34,148.0,90.0,0.0
2012-11-09,75.02,1288.0,35.34,90.0,90.0,0.0
2012-11-10,75.02,1288.0,35.34,90.0,90.0,0.0
2012-11-11,75.01,1285.0,35.25,58.0,90.0,0.0
2012-11-12,74.98,1280.0,35.12,35.0,90.0,0.0
2012-11-13,74.93,1273.0,34.92,0.0,90.0,0.0
2012-11-14,74.88,1265.0,34.71,0.0,90.0,0.0
2012-11-15,74.84,1257.0,34.49,0.0,90.0,0.0
2012-11-16,74.79,1249.0,34.27,0.0,90.0,0.0
2012-11-17,74.74,1242.0,34.07,0.0,90.0,0.0
2012-11-18,74.7,1235.0,33.88,0.0,90.0,0.0
2012-11-19,74.66,1228.0,33.69,0.0,90.0,0.0
2012-11-20,74.62,1221.0,33.5,0.0,90.0,0.0
2012-11-21,74.58,1214.0,33.31,0.0,90.0,0.0
2012-11-22,74.53,1207.0,33.11,0.0,90.0,0.0
2012-11-23,74.49,1200.0,32.92,0.0,90.0,3.0
2012-11-24,74.44,1192.0,32.7,0.0,90.0,0.0
2012-11-25,74.4,1185.0,32.51,0.0,90.0,0.0
2012-11-26,74.35,1177.0,32.29,0.0,90.0,0.0
2012-11-27,74.3,1169.0,32.07,0.0,90.0,0.0
2012-11-28,74.25,1162.0,31.88,0.0,90.0,0.0
2012-11-29,74.21,1155.0,31.69,0.0,90.0,0.0
2012-11-30,74.16,1148.0,31.5,0.0,90.0,0.0
2012-12-01,74.12,1141.0,31.3,0.0,90.0,0.0
2012-12-02,74.08,1134.0,31.11,0.0,80.0,0.0
2012-12-03,74.03,1127.0,30.92,0.0,80.0,3.0
2012-12-04,74.66,1227.0,33.66,1237.0,80.0,93.0
2012-12-05,75.13,1307.0,35.86,1005.0,80.0,7.0
2012-12-06,75.28,1332.0,36.54,379.0,80.0,0.0
2012-12-07,75.36,1345.0,36.9,230.0,80.0,0.0
2012-12-08,75.38,1350.0,37.04,103.0,95.0,0.0
2012-12-09,75.4,1352.0,37.09,103.0,80.0,0.0
2012-12-10,75.4,1352.0,37.09,80.0,80.0,0.0
2012-12-11,75.38,1349.0,37.01,46.0,80.0,0.0
2012-12-12,75.34,1342.0,36.82,0.0,80.0,0.0
2012-12-13,75.3,1335.0,36.63,0.0,90.0,0.0
2012-12-14,75.25,1327.0,36.41,0.0,90.0,0.0
2012-12-15,75.21,1320.0,36.21,0.0,80.0,0.0
2012-12-16,75.15,1310.0,35.94,0.0,80.0,0.0
2012-12-17,75.09,1300.0,35.67,0.0,115.0,0.0
2012-12-18,75.03,1290.0,35.39,0.0,115.0,0.0
2012-12-19,74.98,1280.0,35.12,0.0,115.0,0.0
2012-12-20,74.92,1270.0,34.84,0.0,115.0,0.0
2012-12-21,74.85,1259.0,34.54,0.0,125.0,0.0
2012-12-22,74.78,1248.0,34.24,0.0,125.0,0.0
2012-12-23,74.71,1236.0,33.91,0.0,135.0,0.0
2012-12-24,78.18,1875.0,51.44,0.0,48.0,0.0
2012-12-25,74.58,1215.0,33.33,0.0,100.0,0.0
2012-12-26,74.53,1207.0,33.11,0.0,100.0,0.0
2012-12-27,74.48,1198.0,32.87,0.0,100.0,0.0
2012-12-28,74.43,1190.0,32.65,0.0,100.0,0.0
2012-12-29,74.37,1181.0,32.4,0.0,100.0,13.0
2012-12-30,74.65,1226.0,33.64,586.0,65.0,42.5
2012-12-31,74.7,1234.0,33.85,119.0,15.0,0.0
