date,level,storage,storage_pct,inflow,outflow,rainfall
2013-10-01,70.76,668.0,18.33,0.0,49.0,10.0
2013-10-02,70.72,663.0,18.19,0.0,50.0,0.0
2013-10-03,70.68,658.0,18.05,0.0,50.0,0.0
2013-10-04,70.64,653.0,17.91,0.0,48.0,17.0
2013-10-05,70.6,648.0,17.78,0.0,50.0,0.0
2013-10-06,70.56,643.0,17.64,0.0,50.0,0.0
2013-10-07,70.52,638.0,17.5,0.0,49.0,0.0
2013-10-08,70.48,633.0,17.37,0.0,50.0,0.0
2013-10-09,70.44,628.0,17.23,0.0,50.0,0.0
2013-10-10,70.4,623.0,17.09,0.0,48.0,10.0
2013-10-11,70.45,630.0,17.28,132.0,51.0,4.0
2013-10-12,70.42,626.0,17.17,0.0,50.0,0.0
2013-10-13,70.39,622.0,17.06,0.0,50.0,0.0
2013-10-14,70.35,617.0,16.93,0.0,52.0,0.0
2013-10-15,70.31,613.0,16.82,0.0,52.0,0.0
2013-10-16,70.27,608.0,16.68,0.0,50.0,0.0
2013-10-17,70.23,603.0,16.54,0.0,50.0,0.0
2013-10-18,70.18,597.0,16.38,0.0,58.0,5.0
2013-10-19,70.14,593.0,16.27,0.0,50.0,0.0
2013-10-20,70.42,626.0,17.17,432.0,50.0,18.0
2013-10-21,71.18,721.0,19.78,1149.0,50.0,45.0
2013-10-22,71.4,749.0,20.55,374.0,50.0,25.0
2013-10-23,71.43,753.0,20.66,96.0,50.0,4.0
2013-10-24,71.43,753.0,20.66,50.0,50.0,0.0
2013-10-25,71.43,753.0,20.66,50.0,50.0,0.0
2013-10-26,71.52,765.0,20.99,169.0,30.0,10.0
2013-10-27,71.52,765.0,20.99,50.0,50.0,0.0
2013-10-28,71.49,761.0,20.88,0.0,42.0,0.0
2013-10-29,71.47,759.0,20.82,0.0,37.0,0.0
2013-10-30,71.45,756.0,20.74,0.0,37.0,0.0
2013-10-31,71.42,752.0,20.63,0.0,50.0,0.0
2013-11-01,71.4,749.0,20.55,0.0,42.0,0.0
2013-11-02,71.37,745.0,20.44,0.0,49.0,0.0
2013-11-03,71.33,740.0,20.3,0.0,52.0,5.0
2013-11-04,71.4,749.0,20.55,154.0,50.0,12.0
2013-11-05,73.13,990.0,27.16,75.0,72.0,0.0
2013-11-06,71.41,751.0,20.6,52.0,52.0,0.0
2013-11-07,71.38,747.0,20.49,0.0,50.0,0.0
2013-11-08,71.35,743.0,20.38,0.0,50.0,0.0
2013-11-09,71.32,739.0,20.27,0.0,50.0,0.0
2013-11-10,71.29,735.0,20.16,0.0,50.0,0.0
2013-11-11,71.26,731.0,20.05,0.0,50.0,0.0
2013-11-12,71.22,726.0,19.92,0.0,55.0,0.0
2013-11-13,71.19,722.0,19.81,0.0,50.0,0.0
2013-11-14,71.15,717.0,19.67,0.0,56.0,0.0
2013-11-15,71.12,713.0,19.56,0.0,50.0,0.0
2013-11-16,71.12,713.0,19.56,50.0,50.0,2.0
2013-11-17,71.9,816.0,22.39,1240.0,50.0,125.0
2013-11-18,72.28,868.0,23.81,651.0,50.0,51.0
2013-11-19,72.94,962.0,26.39,2005.0,17.0,1.0
2013-11-20,73.16,994.0,27.27,414.0,44.0,0.0
2013-11-21,73.19,999.0,27.41,130.0,72.0,0.0
2013-11-22,73.19,999.0,27.41,72.0,72.0,0.0
2013-11-23,73.15,993.0,27.24,0.0,72.0,0.0
2013-11-24,73.12,988.0,27.11,0.0,59.0,2.0
2013-11-25,73.09,984.0,27.0,0.0,54.0,0.0
2013-11-26,73.04,976.0,26.78,0.0,58.0,0.0
2013-11-27,73.02,972.0,26.67,0.0,52.0,0.0
2013-11-28,72.98,968.0,26.56,0.0,52.0,0.0
2013-11-29,72.96,964.0,26.45,0.0,50.0,0.0
2013-11-30,72.93,960.0,26.34,0.0,52.0,0.0
2013-12-01,72.9,956.0,26.23,0.0,50.0,2.0
2013-12-02,72.87,951.0,26.09,0.0,58.0,5.0
2013-12-03,73.05,975.0,26.75,328.0,50.0,30.0
2013-12-04,73.1,985.0,27.02,166.0,50.0,0.0
2013-12-05,73.13,990.0,27.16,75.0,72.0,0.0
