date,level,storage,storage_pct,inflow,outflow,rainfall
2014-10-01,71.15,718.0,19.7,206.0,90.0,0.0
2014-10-02,71.23,728.0,19.97,206.0,90.0,0.0
2014-10-03,71.31,738.0,20.25,208.0,90.0,0.0
2014-10-04,71.38,747.0,20.49,190.0,90.0,0.0
2014-10-05,71.44,754.0,20.69,178.0,92.0,0.0
2014-10-06,71.49,761.0,20.88,183.0,92.0,0.0
2014-10-07,71.56,770.0,21.12,176.0,67.0,0.0
2014-10-08,71.71,790.0,21.67,325.0,90.0,20.0
2014-10-09,71.77,799.0,21.92,189.0,90.0,0.0
2014-10-10,71.81,804.0,22.06,146.0,88.0,0.0
2014-10-11,71.87,812.0,22.28,181.0,88.0,0.0
2014-10-12,71.92,818.0,22.44,158.0,88.0,0.0
2014-10-13,71.96,824.0,22.61,160.0,88.0,0.0
2014-10-14,72.0,829.0,22.74,146.0,88.0,0.0
2014-10-15,72.04,835.0,22.91,157.0,88.0,0.0
2014-10-16,72.06,838.0,22.99,118.0,88.0,0.0
2014-10-17,72.08,841.0,23.07,118.0,88.0,0.0
2014-10-18,72.51,900.0,24.69,771.0,88.0,95.0
2014-10-19,72.9,956.0,26.23,746.0,86.0,64.0
2014-10-20,73.21,1001.0,27.46,619.0,82.0,27.0
2014-10-21,73.41,1031.0,28.29,429.0,82.0,20.0
2014-10-22,73.55,1053.0,28.89,347.0,92.0,5.0
2014-10-23,73.66,1069.0,29.33,275.0,90.0,5.0
2014-10-24,74.39,1184.0,32.48,1419.0,88.0,52.0
2014-10-25,74.56,1212.0,33.25,412.0,88.0,15.0
2014-10-26,74.63,1224.0,33.58,227.0,88.0,10.0
2014-10-27,74.67,1230.0,33.74,160.0,88.0,2.0
2014-10-28,74.7,1234.0,33.85,130.0,88.0,0.0
2014-10-29,74.65,1227.0,33.66,0.0,88.0,0.0
2014-10-30,74.6,1219.0,33.44,0.0,88.0,0.0
2014-10-31,74.56,1211.0,33.22,0.0,88.0,0.0
2014-11-01,74.56,1211.0,33.22,88.0,88.0,5.0
2014-11-02,74.57,1213.0,33.28,109.0,86.0,5.0
2014-11-03,74.57,1213.0,33.28,86.0,86.0,10.0
2014-11-04,74.53,1206.0,33.09,0.0,82.0,0.0
2014-11-05,74.48,1199.0,32.89,0.0,86.0,0.0
2014-11-06,74.44,1192.0,32.7,0.0,82.0,0.0
2014-11-07,74.4,1185.0,32.51,0.0,86.0,0.0
2014-11-08,74.35,1177.0,32.29,0.0,92.0,0.0
2014-11-09,74.3,1169.0,32.07,0.0,92.0,0.0
2014-11-10,74.25,1162.0,31.88,0.0,88.0,0.0
2014-11-11,74.2,1154.0,31.66,0.0,88.0,0.0
2014-11-12,74.2,1154.0,31.66,82.0,82.0,15.0
2014-11-13,74.58,1214.0,33.31,776.0,82.0,82.0
2014-11-14,74.79,1250.0,34.29,499.0,82.0,82.0
2014-11-15,74.97,1279.0,35.09,428.0,92.0,10.0
2014-11-16,75.02,1288.0,35.34,190.0,86.0,0.0
2014-11-17,75.02,1288.0,35.34,86.0,86.0,0.0
2014-11-18,74.98,1281.0,35.14,86.0,82.0,0.0
2014-11-19,74.94,1274.0,34.95,0.0,84.0,0.0
2014-11-20,74.9,1267.0,34.76,0.0,82.0,0.0
2014-11-21,74.86,1260.0,34.57,0.0,80.0,0.0
2014-11-22,74.81,1253.0,34.38,0.0,82.0,0.0
2014-11-23,74.77,1246.0,34.18,0.0,82.0,0.0
2014-11-24,74.73,1239.0,33.99,0.0,78.0,0.0
2014-11-25,74.68,1231.0,33.77,0.0,92.0,0.0
2014-11-26,74.64,1224.0,33.58,0.0,88.0,0.0
2014-11-27,74.59,1217.0,33.39,0.0,82.0,0.0
2014-11-28,74.55,1210.0,33.2,0.0,88.0,0.0
2014-11-29,74.51,1203.0,33.0,0.0,88.0,0.0
2014-11-30,74.48,1196.0,32.81,0.0,82.0,0.0
2014-12-01,74.42,1189.0,32.62,0.0,88.0,3.0
2014-12-02,74.37,1181.0,32.4,0.0,92.0,0.0
2014-12-03,74.32,1173.0,32.18,0.0,92.0,0.0
2014-12-04,74.27,1165.0,31.96,0.0,92.0,0.0
2014-12-05,74.23,1158.0,31.77,0.0,82.0,0.0
2014-12-06,44.18,1151.0,31.58,0.0,78.0,0.0
2014-12-07,74.15,1145.0,31.41,0.0,74.0,0.0
2014-12-08,74.11,1139.0,31.25,0.0,74.0,0.0
2014-12-09,74.07,1133.0,31.08,0.0,70.0,0.0
2014-12-10,74.01,1123.0,30.81,0.0,113.0,0.0
2014-12-11,73.96,1115.0,30.59,0.0,92.0,10.0
2014-12-12,73.91,1107.0,30.37,0.0,92.0,12.0
2014-12-13,73.86,1100.0,30.18,0.0,78.0,0.0
2014-12-14,73.82,1094.0,30.01,0.0,74.0,15.0
2014-12-15,73.78,1088.0,29.85,0.0,74.0,0.0
2014-12-16,73.74,1082.0,29.68,0.0,70.0,0.0
2014-12-17,73.7,1076.0,29.52,0.0,70.0,0.0
2014-12-18,73.67,1070.0,29.36,0.0,70.0,0.0
2014-12-19,73.62,1063.0,29.16,0.0,86.0,0.0
2014-12-20,73.57,1056.0,28.97,0.0,86.0,0.0
2014-12-21,73.52,1048.0,28.75,0.0,92.0,0.0
2014-12-22,73.47,1040.0,28.53,0.0,92.0,0.0
2014-12-23,73.42,1032.0,28.31,0.0,92.0,0.0
2014-12-24,73.36,1024.0,28.09,0.0,92.0,0.0
2014-12-25,73.31,1016.0,27.87,0.0,92.0,0.0
2014-12-26,73.25,1008.0,27.65,0.0,92.0,0.0
2014-12-27,73.2,1000.0,27.43,0.0,92.0,0.0
2014-12-28,73.15,992.0,27.22,0.0,92.0,0.0
2014-12-29,73.09,984.0,27.0,0.0,92.0,10.0
2014-12-30,73.09,984.0,27.0,92.0,92.0,45.0
2014-12-31,73.04,976.0,26.78,0.0,92.0,0.0
