date,level,storage,storage_pct,inflow,outflow,rainfall
2015-04-02,72.21,858.0,23.54,0.0,74.0,0.0
2015-04-03,72.16,852.0,23.37,0.0,74.0,0.0
2015-04-04,72.12,846.0,23.21,0.0,74.0,0.0
2015-04-05,72.08,840.0,23.05,0.0,74.0,0.0
2015-04-06,72.03,834.0,22.88,0.0,74.0,0.0
2015-04-07,71.98,827.0,22.69,0.0,81.0,0.0
2015-04-08,71.93,820.0,22.5,0.0,81.0,0.0
2015-04-09,71.88,813.0,22.3,0.0,81.0,0.0
2015-04-10,71.83,806.0,22.11,0.0,81.0,0.0
2015-04-11,71.78,799.0,21.92,0.0,81.0,0.0
2015-04-12,71.72,792.0,21.73,0.0,81.0,0.0
2015-04-13,71.67,785.0,21.54,0.0,81.0,0.0
2015-04-14,71.62,778.0,21.34,0.0,81.0,0.0
2015-04-15,71.56,771.0,21.15,0.0,81.0,0.0
2015-04-16,71.5,763.0,20.93,0.0,93.0,35.0
2015-04-17,71.45,756.0,20.74,0.0,81.0,0.0
2015-04-18,71.4,749.0,20.55,0.0,81.0,0.0
2015-04-19,71.33,740.0,20.3,0.0,81.0,0.0
2015-04-20,71.26,731.0,20.05,0.0,81.0,0.0
2015-04-21,71.2,724.0,19.86,0.0,81.0,0.0
2015-04-22,71.26,732.0,20.08,173.0,85.0,0.0
2015-04-23,71.33,740.0,20.3,173.0,81.0,0.0
2015-04-24,71.4,749.0,20.55,185.0,81.0,0.0
2015-04-25,71.47,758.0,20.8,185.0,81.0,32.0
2015-04-26,71.54,768.0,21.07,231.0,120.0,0.0
2015-04-27,71.62,778.0,21.34,231.0,116.0,0.0
2015-04-28,71.67,785.0,21.54,190.0,109.0,0.0
2015-04-29,71.72,792.0,21.73,190.0,109.0,0.0
2015-04-30,71.74,794.0,21.78,140.0,114.0,0.0
2015-05-01,71.77,799.0,21.92,175.0,119.0,0.0
2015-05-02,71.77,799.0,21.92,81.0,81.0,0.0
2015-05-03,71.72,792.0,21.73,0.0,81.0,0.0
2015-05-04,71.67,785.0,21.54,0.0,81.0,0.0
2015-05-05,71.62,778.0,21.34,0.0,81.0,0.0
2015-05-06,71.56,771.0,21.15,0.0,81.0,0.0
2015-05-07,71.51,764.0,20.96,0.0,81.0,0.0
2015-05-08,71.44,755.0,20.71,0.0,105.0,0.0
2015-05-09,71.38,747.0,20.49,0.0,93.0,0.0
2015-05-10,71.33,740.0,20.3,0.0,81.0,0.0
2015-05-11,71.27,733.0,20.11,0.0,81.0,0.0
2015-05-12,71.22,726.0,19.92,0.0,81.0,0.0
2015-05-13,71.15,717.0,19.67,0.0,104.0,0.0
2015-05-14,71.09,709.0,19.45,0.0,93.0,5.0
2015-05-15,71.02,701.0,19.23,0.0,92.0,2.0
2015-05-16,70.97,694.0,19.04,0.0,81.0,0.0
2015-05-17,70.91,687.0,18.85,0.0,81.0,0.0
