date,level,storage,storage_pct,inflow,outflow,rainfall
2016-07-01,78.67,1977.0,54.24,0.0,185.0,0.0
2016-07-02,78.6,1961.0,53.8,0.0,185.0,0.0
2016-07-03,78.52,1945.0,53.36,0.0,182.0,0.0
2016-07-04,78.44,1929.0,52.92,0.0,185.0,0.0
2016-07-05,78.38,1915.0,52.54,0.0,162.0,0.0
2016-07-06,78.31,1901.0,52.15,0.0,160.0,0.0
2016-07-07,78.31,1901.0,52.15,160.0,160.0,15.0
2016-07-08,78.28,1895.0,51.99,160.0,142.0,5.0
2016-07-09,78.22,1882.0,51.63,160.0,156.0,5.0
2016-07-10,78.15,1869.0,51.28,0.0,156.0,5.0
2016-07-11,78.09,1856.0,50.92,0.0,156.0,0.0
2016-07-12,78.02,1843.0,50.56,0.0,156.0,0.0
2016-07-13,77.96,1830.0,50.21,0.0,156.0,0.0
2016-07-14,77.7,1817.0,49.85,0.0,156.0,0.0
2016-07-15,77.83,1804.0,49.49,0.0,156.0,0.0
2016-07-16,77.76,1791.0,49.14,0.0,156.0,0.0
2016-07-17,77.7,1778.0,48.78,0.0,156.0,0.0
2016-07-18,77.63,1765.0,48.42,0.0,156.0,0.0
2016-07-19,77.54,1752.0,48.07,0.0,156.0,10.0
2016-07-20,77.5,1739.0,47.71,0.0,156.0,3.0
2016-07-21,77.43,1726.0,47.35,0.0,153.0,0.0
2016-07-22,77.36,1711.0,46.94,0.0,172.0,0.0
2016-07-23,77.28,1696.0,46.53,0.0,172.0,0.0
2016-07-24,77.2,1681.0,46.12,0.0,172.0,0.0
2016-07-25,77.12,1666.0,45.71,0.0,172.0,0.0
2016-07-26,77.04,1651.0,45.29,0.0,172.0,0.0
2016-07-27,76.96,1636.0,44.88,0.0,172.0,0.0
2016-07-28,76.88,1621.0,44.47,0.0,172.0,0.0
2016-07-29,76.8,1606.0,44.06,0.0,172.0,2.0
2016-07-30,76.72,1591.0,43.65,0.0,172.0,0.0
2016-07-31,76.64,1576.0,43.24,0.0,172.0,0.0
2016-08-01,76.56,1561.0,42.83,0.0,172.0,0.0
2016-08-02,76.48,1546.0,42.41,0.0,172.0,0.0
2016-08-03,76.4,1531.0,42.0,0.0,172.0,0.0
2016-08-04,76.32,1516.0,41.59,0.0,172.0,0.0
2016-08-05,76.23,1501.0,41.18,0.0,172.0,0.0
2016-08-06,76.15,1486.0,40.77,0.0,172.0,0.0
2016-08-07,76.07,1471.0,40.36,0.0,172.0,0.0
2016-08-08,75.99,1456.0,39.95,0.0,172.0,0.0
2016-08-09,75.9,1441.0,39.53,0.0,172.0,0.0
2016-08-10,75.82,1426.0,39.12,0.0,172.0,0.0
2016-08-11,75.83,1428.0,39.18,195.0,172.0,6.0
2016-08-12,75.76,1416.0,38.85,35.0,172.0,0.0
2016-08-13,75.67,1401.0,38.44,0.0,172.0,0.0
2016-08-14,75.59,1386.0,38.02,0.0,172.0,4.0
2016-08-15,75.5,1371.0,37.61,0.0,172.0,0.0
2016-08-16,75.42,1356.0,37.2,0.0,172.0,0.0
2016-08-17,75.33,1341.0,36.79,0.0,172.0,0.0
2016-08-18,75.24,1326.0,36.38,0.0,172.0,0.0
2016-08-19,75.16,1311.0,35.97,0.0,172.0,0.0
2016-08-20,75.07,1296.0,35.56,0.0,172.0,0.0
2016-08-21,74.98,1281.0,35.14,0.0,172.0,0.0
2016-08-22,74.89,1266.0,34.73,0.0,172.0,0.0
2016-08-23,74.8,1251.0,34.32,0.0,172.0,0.0
2016-08-24,74.71,1236.0,33.91,0.0,172.0,0.0
2016-08-25,74.62,1221.0,33.5,0.0,172.0,0.0
2016-08-26,74.53,1206.0,33.09,0.0,172.0,0.0
2016-08-27,74.44,1191.0,32.67,0.0,172.0,1.0
2016-08-28,74.34,1176.0,32.26,0.0,172.0,0.0
2016-08-29,74.25,1161.0,31.85,0.0,172.0,0.0
2016-08-30,74.2,1153.0,31.63,81.0,172.0,10.0
2016-08-31,74.2,1153.0,31.63,172.0,172.0,31.0
2016-09-01,74.15,1145.0,31.41,81.0,172.0,0.0
2016-09-02,74.24,1159.0,31.8,334.0,172.0,40.0
2016-09-03,74.2,1153.0,31.63,104.0,172.0,0.0
2016-09-04,74.2,1153.0,31.63,172.0,172.0,34.0
2016-09-05,74.13,1142.0,31.33,46.0,172.0,0.0
2016-09-06,74.03,1127.0,30.92,0.0,172.0,0.0
2016-09-07,74.94,1112.0,30.51,0.0,172.0,0.0
2016-09-08,73.84,1097.0,30.1,0.0,172.0,0.0
2016-09-09,73.74,1082.0,29.68,0.0,172.0,1.0
2016-09-10,73.65,1067.0,29.27,0.0,172.0,6.0
2016-09-11,70.75,1083.0,29.71,0.0,151.0,53.0
2016-09-12,73.76,1084.0,29.74,0.0,151.0,0.0
2016-09-13,73.67,1071.0,29.38,0.0,151.0,0.0
2016-09-14,73.59,1058.0,29.03,0.0,151.0,0.0
2016-09-15,73.5,1045.0,28.67,0.0,151.0,0.0
2016-09-16,73.5,1045.0,28.67,151.0,0.0,33.0
2016-09-17,73.67,1070.0,29.36,440.0,0.0,57.0
2016-09-18,73.69,1073.0,29.44,181.0,0.0,0.0
2016-09-19,73.6,1060.0,29.08,0.0,0.0,0.0
2016-09-20,73.52,1047.0,28.72,0.0,0.0,0.0
2016-09-21,73.43,1034.0,28.37,0.0,0.0,6.0
2016-09-22,73.34,1021.0,28.01,0.0,0.0,0.0
2016-09-23,73.26,1008.0,27.65,0.0,0.0,0.0
2016-09-24,73.17,995.0,27.3,0.0,0.0,0.0
2016-09-25,73.08,982.0,26.94,0.0,0.0,0.0
2016-09-26,72.99,969.0,26.58,0.0,0.0,0.0
2016-09-27,72.9,956.0,26.23,0.0,0.0,0.0
2016-09-28,72.83,945.0,25.93,0.0,0.0,0.0
2016-09-29,73.03,975.0,26.75,498.0,0.0,77.0
