date,level,storage,storage_pct,inflow,outflow,rainfall
2017-04-02,68.95,457.0,12.54,0.0,66.0,0.0
2017-04-03,68.89,451.0,12.37,0.0,65.0,0.0
2017-04-04,68.84,446.0,12.24,0.0,61.0,0.0
2017-04-05,68.79,441.0,12.1,0.0,60.0,0.0
2017-04-06,68.74,436.0,11.96,0.0,58.0,0.0
2017-04-07,68.7,431.0,11.82,0.0,62.0,0.0
2017-04-08,68.65,426.0,11.69,0.0,58.0,0.0
2017-04-09,68.59,420.0,11.52,0.0,72.0,0.0
2017-04-10,68.54,415.0,11.39,0.0,60.0,0.0
2017-04-11,68.48,408.0,11.19,0.0,76.0,0.0
2017-04-12,68.43,403.0,11.06,0.0,62.0,0.0
2017-04-13,68.37,397.0,10.89,0.0,68.0,0.0
2017-04-14,68.32,392.0,10.75,0.0,59.0,0.0
2017-04-15,68.27,387.0,10.62,0.0,54.0,0.0
2017-04-16,68.2,381.0,10.45,0.0,66.0,0.0
2017-04-17,68.14,375.0,10.29,0.0,71.0,0.0
2017-04-18,68.07,368.0,10.1,0.0,76.0,0.0
2017-04-19,67.99,360.0,9.88,0.0,91.0,0.0
2017-04-20,67.93,354.0,9.71,0.0,74.0,0.0
2017-04-21,67.87,348.0,9.55,0.0,74.0,0.0
2017-04-22,67.8,342.0,9.38,0.0,74.0,0.0
2017-04-23,67.74,336.0,9.22,0.0,74.0,0.0
2017-04-24,67.67,330.0,9.05,0.0,66.0,0.0
2017-04-25,67.62,325.0,8.92,0.0,62.0,0.0
2017-04-26,67.56,320.0,8.78,0.0,62.0,0.0
2017-04-27,67.51,315.0,8.64,0.0,60.0,0.0
2017-04-28,67.45,310.0,8.5,0.0,59.0,0.0
2017-04-29,67.38,303.0,8.31,0.0,79.0,0.0
2017-04-30,67.28,295.0,8.09,0.0,91.0,0.0
2017-05-01,67.19,287.0,7.87,0.0,91.0,0.0
2017-05-02,67.11,280.0,7.68,0.0,82.0,0.0
2017-05-03,67.03,273.0,7.49,0.0,82.0,0.0
2017-05-04,66.95,266.0,7.3,0.0,80.0,0.0
2017-05-05,66.87,259.0,7.11,0.0,79.0,0.0
2017-05-06,66.78,252.0,6.91,0.0,83.0,0.0
2017-05-07,66.71,246.0,6.75,0.0,72.0,0.0
2017-05-08,66.63,240.0,6.58,0.0,74.0,0.0
2017-05-09,66.54,232.0,6.36,0.0,95.0,0.0
2017-05-10,66.45,225.0,6.17,0.0,84.0,0.0
2017-05-11,66.37,219.0,6.01,0.0,73.0,0.0
2017-05-12,66.29,213.0,5.84,0.0,68.0,0.0
2017-05-13,66.21,207.0,5.68,0.0,64.0,0.0
2017-05-14,66.12,200.0,5.49,0.0,79.0,0.0
2017-05-15,66.04,194.0,5.32,0.0,72.0,0.0
2017-05-16,65.96,188.0,5.16,0.0,66.0,0.0
2017-05-17,65.89,183.0,5.02,0.0,62.0,0.0
2017-05-18,65.8,177.0,4.86,0.0,64.0,0.0
2017-05-19,65.72,171.0,4.69,0.0,72.0,0.0
2017-05-20,65.63,165.0,4.53,0.0,66.0,0.0
2017-05-21,65.55,159.0,4.36,0.0,74.0,0.0
2017-05-22,65.43,151.0,4.14,0.0,89.0,0.0
2017-05-23,65.31,143.0,3.92,0.0,89.0,0.0
2017-05-24,65.21,136.0,3.73,0.0,75.0,0.0
2017-05-25,65.11,130.0,3.57,0.0,70.0,0.0
2017-05-26,65.02,124.0,3.4,0.0,71.0,0.0
2017-05-27,64.95,119.0,3.26,0.0,58.0,0.0
2017-05-28,64.87,114.0,3.13,0.0,56.0,0.0
2017-05-29,64.78,109.0,2.99,0.0,56.0,0.0
2017-05-30,64.7,104.0,2.85,0.0,56.0,0.0
2017-05-31,64.62,99.0,2.72,0.0,59.0,0.0
2017-06-01,64.52,93.0,2.55,0.0,65.0,0.0
2017-06-02,64.43,88.0,2.41,0.0,55.0,0.0
