date,level,storage,storage_pct,inflow,outflow,rainfall
2019-04-02,61.97,9.0,0.25,0.0,13.0,0.0
2019-04-03,61.97,9.0,0.25,0.0,6.0,0.0
2019-04-04,61.97,9.0,0.25,0.0,6.0,0.0
2019-04-05,61.92,8.0,0.22,0.0,6.0,0.0
2019-04-06,61.92,8.0,0.22,0.0,6.0,0.0
2019-04-07,61.92,8.0,0.22,0.0,6.0,0.0
2019-04-08,61.84,7.0,0.19,0.0,6.0,0.0
2019-04-09,61.92,7.0,0.19,0.0,6.0,0.0
2019-04-10,61.84,7.0,0.19,0.0,6.0,0.0
2019-04-11,61.79,6.0,0.16,0.0,6.0,0.0
2019-04-12,61.79,6.0,0.16,0.0,6.0,0.0
2019-04-13,61.79,6.0,0.16,0.0,6.0,0.0
2019-04-14,61.79,6.0,0.16,0.0,6.0,0.0
2019-04-15,61.74,5.0,0.14,0.0,6.0,0.0
2019-04-16,61.74,5.0,0.14,0.0,6.0,0.0
2019-04-17,61.74,5.0,0.14,0.0,6.0,0.0
2019-04-18,61.74,5.0,0.14,0.0,6.0,0.0
2019-04-19,61.74,5.0,0.14,0.0,6.0,0.0
2019-04-20,61.68,4.0,0.11,0.0,6.0,0.0
2019-04-21,61.68,4.0,0.11,0.0,6.0,0.0
2019-04-22,61.68,4.0,0.11,0.0,6.0,0.0
2019-04-23,61.68,4.0,0.11,0.0,6.0,0.0
2019-04-24,61.68,4.0,0.11,0.0,6.0,0.0
2019-04-25,61.61,3.0,0.08,0.0,6.0,0.0
2019-04-26,61.61,3.0,0.08,0.0,6.0,0.0
2019-04-27,61.61,3.0,0.08,0.0,6.0,0.0
2019-04-28,61.61,3.0,0.08,0.0,6.0,0.0
2019-04-29,61.61,3.0,0.08,0.0,6.0,0.0
2019-04-30,61.61,3.0,0.08,0.0,6.0,0.0
2019-05-01,61.55,2.0,0.05,0.0,6.0,0.0
2019-05-02,61.55,2.0,0.05,0.0,6.0,0.0
2019-05-03,61.55,2.0,0.05,0.0,6.0,0.0
2019-05-04,61.55,2.0,0.05,0.0,6.0,0.0
2019-05-05,61.55,2.0,0.05,0.0,6.0,0.0
2019-05-06,61.55,2.0,0.05,0.0,6.0,0.0
2019-05-07,61.48,1.0,0.03,0.0,6.0,0.0
2019-05-08,61.48,1.0,0.03,0.0,6.0,0.0
2019-05-09,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-10,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-11,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-12,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-13,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-14,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-15,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-16,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-17,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-18,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-19,61.48,1.0,0.03,0.0,0.0,0.0
2019-05-20,61.48,1.0,0.03,0.0,0.0,0.0
