date,level,storage,storage_pct,inflow,outflow,rainfall
2020-07-01,78.87,2019.0,55.39,0.0,85.0,0.0
2020-07-02,78.84,2012.0,55.2,0.0,78.0,7.0
2020-07-03,78.8,2005.0,55.01,0.0,82.0,0.0
2020-07-04,78.77,1998.0,54.81,0.0,81.0,12.0
2020-07-05,78.74,1991.0,54.62,0.0,77.0,0.0
2020-07-06,78.7,1984.0,54.43,0.0,77.0,0.0
2020-07-07,78.67,1977.0,54.24,0.0,77.0,0.0
2020-07-08,78.64,1970.0,54.05,0.0,77.0,4.0
2020-07-09,78.6,1963.0,53.85,0.0,79.0,0.0
2020-07-10,78.65,1972.0,54.1,196.0,92.0,91.0
2020-07-11,78.65,1972.0,54.1,65.0,65.0,39.0
2020-07-12,78.62,1966.0,53.94,0.0,72.0,0.0
2020-07-13,78.59,1960.0,53.77,0.0,73.0,11.0
2020-07-14,78.56,1953.0,53.58,0.0,81.0,0.0
2020-07-15,78.53,1947.0,53.42,0.0,70.0,0.0
2020-07-16,78.5,1941.0,53.25,0.0,68.0,12.0
2020-07-17,78.47,1935.0,53.09,0.0,69.0,1.0
2020-07-18,78.44,1929.0,52.92,0.0,69.0,0.0
2020-07-19,78.42,1924.0,52.78,0.0,67.0,0.0
2020-07-20,78.39,1918.0,52.62,0.0,67.0,0.0
2020-07-21,78.39,1912.0,52.46,0.0,69.0,0.0
2020-07-22,78.33,1906.0,52.29,0.0,67.0,0.0
2020-07-23,78.3,1900.0,52.13,0.0,68.0,0.0
2020-07-24,78.27,1894.0,51.96,0.0,71.0,0.0
2020-07-25,78.24,1888.0,51.8,0.0,67.0,0.0
2020-07-26,78.21,1881.0,51.6,0.0,73.0,0.0
2020-07-27,78.18,1875.0,51.44,0.0,67.0,0.0
2020-07-28,78.15,1869.0,51.28,0.0,67.0,0.0
2020-07-29,78.13,1865.0,51.17,23.0,68.0,39.0
2020-07-30,78.11,1860.0,51.03,0.0,62.0,8.0
2020-07-31,78.08,1855.0,50.89,0.0,62.0,29.0
2020-08-01,78.05,1849.0,50.73,0.0,67.0,0.0
2020-08-02,78.02,1843.0,50.56,0.0,67.0,0.0
2020-08-03,77.99,1837.0,50.4,0.0,68.0,15.0
2020-08-04,77.96,1830.0,50.21,0.0,73.0,0.0
2020-08-05,77.93,1824.0,50.04,0.0,73.0,0.0
2020-08-06,77.9,1817.0,49.85,0.0,84.0,0.0
2020-08-07,77.86,1810.0,49.66,0.0,87.0,0.0
2020-08-08,77.83,1804.0,49.49,0.0,67.0,0.0
2020-08-09,77.79,1797.0,49.3,0.0,81.0,21.0
2020-08-10,77.76,1791.0,49.14,0.0,68.0,0.0
2020-08-11,77.73,1785.0,48.97,0.0,68.0,0.0
2020-08-12,77.7,1779.0,48.81,0.0,71.0,13.0
2020-08-13,77.67,1773.0,48.64,0.0,71.0,0.0
2020-08-14,77.64,1767.0,48.48,0.0,71.0,0.0
2020-08-15,77.61,1761.0,48.31,0.0,76.0,0.0
2020-08-16,77.58,1755.0,48.15,0.0,71.0,0.0
2020-08-17,77.55,1749.0,47.98,0.0,69.0,0.0
2020-08-18,77.52,1743.0,47.82,0.0,71.0,0.0
2020-08-19,77.49,1737.0,47.65,0.0,67.0,0.0
2020-08-20,77.46,1731.0,47.49,0.0,66.0,0.0
2020-08-21,77.43,1726.0,47.35,0.0,62.0,0.0
2020-08-22,77.4,1720.0,47.19,0.0,66.0,0.0
2020-08-23,77.38,1715.0,47.05,0.0,57.0,0.0
2020-08-24,77.35,1710.0,46.91,0.0,61.0,0.0
2020-08-25,77.32,1705.0,46.78,0.0,62.0,0.0
2020-08-26,77.29,1698.0,46.58,0.0,80.0,0.0
2020-08-27,77.26,1692.0,46.42,0.0,62.0,8.0
2020-08-28,77.26,1692.0,46.42,66.0,66.0,10.0
2020-08-29,77.23,1687.0,46.28,0.0,66.0,0.0
2020-08-30,77.2,1681.0,46.12,0.0,65.0,0.0
2020-08-31,77.17,1676.0,45.98,0.0,60.0,0.0
2020-09-01,77.15,1671.0,45.84,0.0,60.0,0.0
2020-09-02,77.11,1665.0,45.68,0.0,61.0,2.0
2020-09-03,77.08,1659.0,45.51,0.0,65.0,0.0
2020-09-04,77.05,1653.0,45.35,0.0,67.0,0.0
2020-09-05,77.02,1647.0,45.19,0.0,62.0,0.0
2020-09-06,76.9,1641.0,45.02,0.0,67.0,0.0
2020-09-07,76.96,1635.0,44.86,0.0,66.0,0.0
2020-09-08,76.93,1630.0,44.72,0.0,60.0,0.0
2020-09-09,76.89,1622.0,44.5,0.0,98.0,0.0
