date,level,storage,storage_pct,inflow,outflow,rainfall
2021-01-01,84.29,3347.0,91.82,127.0,127.0,2.0
2021-01-02,84.29,3347.0,91.82,127.0,127.0,0.0
2021-01-03,84.29,3347.0,91.82,127.0,127.0,6.0
2021-01-04,84.29,3347.0,91.82,127.0,127.0,0.0
2021-01-05,84.37,3364.0,92.29,312.0,127.0,17.0
2021-01-06,84.58,3426.0,93.99,1530.0,1676.0,135.4
2021-01-07,84.62,3437.0,94.29,2083.0,1933.0,54.0
2021-01-08,84.48,3396.0,93.17,1150.0,1147.0,17.0
2021-01-09,84.45,3387.0,92.92,905.0,905.0,0.0
2021-01-10,84.45,3387.0,92.92,429.0,429.0,0.0
2021-01-11,84.48,3396.0,93.17,382.0,279.0,0.0
2021-01-12,84.48,3396.0,93.17,382.0,382.0,0.0
2021-01-13,84.45,3387.0,92.92,242.0,279.0,0.0
2021-01-14,84.43,3380.0,92.73,142.0,279.0,0.0
2021-01-15,84.41,3373.0,92.54,142.0,279.0,0.0
2021-01-16,84.38,3366.0,92.35,47.0,127.0,0.0
2021-01-17,84.33,3355.0,92.04,0.0,127.0,0.0
2021-01-18,84.28,3344.0,91.74,0.0,127.0,0.0
2021-01-19,84.23,3333.0,91.44,0.0,127.0,0.0
2021-01-20,84.19,3322.0,91.14,0.0,127.0,0.0
2021-01-21,84.24,3336.0,91.52,280.0,127.0,0.0
2021-01-22,84.3,3349.0,91.88,280.0,127.0,0.0
2021-01-23,84.38,3365.0,92.32,290.0,127.0,0.0
2021-01-24,84.43,3380.0,92.73,300.0,127.0,0.0
2021-01-25,84.48,3398.0,93.22,310.0,122.0,0.0
2021-01-26,84.54,3416.0,93.72,310.0,127.0,0.0
2021-01-27,84.6,3432.0,94.16,310.0,128.0,0.0
2021-01-28,84.66,3448.0,94.6,310.0,127.0,0.0
2021-01-29,84.68,3453.0,94.73,170.0,127.0,0.0
2021-01-30,84.7,3459.0,94.9,180.0,122.0,0.0
2021-01-31,84.72,3464.0,95.03,180.0,122.0,0.0
2021-02-01,84.74,3470.0,95.2,180.0,122.0,0.0
2021-02-02,84.76,3476.0,95.36,180.0,123.0,0.0
2021-02-03,84.79,3484.0,95.58,180.0,122.0,0.0
2021-02-04,84.81,3490.0,95.75,180.0,122.0,0.0
2021-02-05,84.8,3487.0,95.67,100.0,127.0,0.0
2021-02-06,84.78,3482.0,95.53,85.0,133.0,0.0
2021-02-07,84.76,3476.0,95.36,80.0,137.0,0.0
2021-02-08,84.74,3470.0,95.2,80.0,137.0,0.0
2021-02-09,84.71,3462.0,94.98,50.0,142.0,0.0
2021-02-10,84.67,3451.0,94.68,20.0,142.0,0.0
2021-02-11,84.62,3438.0,94.32,0.0,142.0,0.0
2021-02-12,84.57,3424.0,93.94,0.0,152.0,0.0
2021-02-13,84.52,3410.0,93.55,0.0,157.0,0.0
2021-02-14,84.47,3396.0,93.17,0.0,158.0,0.0
2021-02-15,84.43,3381.0,92.76,0.0,163.0,0.0
2021-02-16,84.38,3366.0,92.35,0.0,163.0,0.0
2021-02-17,84.31,3351.0,91.93,0.0,162.0,0.0
2021-02-18,84.24,3336.0,91.52,0.0,162.0,0.0
2021-02-19,84.18,3325.0,91.22,0.0,163.0,0.0
2021-02-20,84.12,3305.0,90.67,0.0,162.0,0.0
2021-02-21,84.06,3290.0,90.26,0.0,162.0,4.0
2021-02-22,84.01,3276.0,89.88,0.0,163.0,0.0
2021-02-23,83.95,3261.0,89.47,0.0,163.0,0.0
2021-02-24,83.89,3245.0,89.03,0.0,162.0,0.0
2021-02-25,83.83,3233.0,88.7,0.0,147.0,0.0
2021-02-26,83.78,3220.0,88.34,0.0,148.0,0.0
2021-02-27,83.74,3207.0,87.98,0.0,147.0,0.0
2021-02-28,83.68,3192.0,87.57,0.0,163.0,0.0
2021-03-01,83.62,3177.0,87.16,0.0,163.0,0.0
2021-03-02,83.56,3162.0,86.75,0.0,163.0,0.0
2021-03-03,83.5,3146.0,86.31,0.0,163.0,0.0
2021-03-04,83.45,3132.0,85.93,0.0,163.0,0.0
2021-03-05,83.39,3118.0,85.54,0.0,162.0,0.0
2021-03-06,83.34,3104.0,85.16,0.0,162.0,0.0
2021-03-07,83.3,3094.0,84.88,50.0,162.0,0.0
2021-03-08,83.3,3094.0,84.88,150.0,162.0,0.0
2021-03-09,83.29,3091.0,84.8,150.0,162.0,0.0
2021-03-10,83.29,3091.0,84.8,150.0,163.0,0.0
2021-03-11,83.28,3088.0,84.72,150.0,162.0,0.0
