date,level,storage,storage_pct,inflow,outflow,rainfall
2022-01-01,84.85,3500.0,96.02,895.0,1150.0,7.2
2022-01-02,84.74,3465.0,95.06,900.0,1147.0,4.4
2022-01-03,84.59,3429.0,94.07,495.0,646.0,0.0
2022-01-04,84.58,3426.0,93.99,300.0,299.0,0.0
2022-01-05,84.58,3426.0,93.99,300.0,298.0,0.0
2022-01-06,84.58,3426.0,93.99,300.0,300.0,0.0
2022-01-07,84.58,3426.0,93.99,300.0,299.0,0.0
2022-01-08,84.51,3407.0,93.47,95.0,299.0,0.0
2022-01-09,84.47,3396.0,93.17,185.0,297.0,0.0
2022-01-10,84.45,3387.0,92.92,185.0,299.0,0.0
2022-01-11,84.4,3371.0,92.48,145.0,297.0,0.0
2022-01-12,84.36,3361.0,92.21,145.0,300.0,0.0
2022-01-13,84.36,3361.0,92.21,145.0,300.0,0.0
2022-01-14,84.31,3351.0,91.93,145.0,145.0,0.0
2022-01-15,84.28,3344.0,91.74,65.0,146.0,0.0
2022-01-16,84.25,3337.0,91.55,65.0,147.0,0.0
2022-01-17,84.2,3325.0,91.22,0.0,150.0,3.0
2022-01-18,84.2,3325.0,91.22,150.0,149.0,15.0
2022-01-19,84.15,3312.0,90.86,0.0,148.0,0.0
2022-01-20,84.15,3312.0,90.86,160.0,150.0,0.0
2022-01-21,84.16,3315.0,90.95,170.0,149.0,0.0
2022-01-22,84.16,3315.0,90.95,160.0,150.0,0.0
2022-01-23,84.18,3320.0,91.08,160.0,149.0,0.0
2022-01-24,84.25,3338.0,91.58,310.0,150.0,11.0
2022-01-25,84.26,3340.0,91.63,160.0,151.0,0.0
2022-01-26,84.28,3345.0,91.77,160.0,151.0,0.0
2022-01-27,84.29,3347.0,91.82,160.0,151.0,1.0
2022-01-28,84.31,3351.0,91.93,170.0,151.0,0.0
2022-01-29,84.33,3355.0,92.04,170.0,151.0,0.0
2022-01-30,84.35,3359.0,92.15,170.0,146.0,0.0
2022-01-31,84.38,3366.0,92.35,170.0,150.0,0.0
2022-02-01,84.38,3366.0,92.35,170.0,150.0,0.0
2022-02-02,84.4,3370.0,92.46,170.0,150.0,0.0
2022-02-03,84.41,3374.0,92.57,170.0,151.0,0.0
2022-02-04,84.42,3377.0,92.65,170.0,150.0,0.0
2022-02-05,84.44,3383.0,92.81,170.0,150.0,0.0
2022-02-06,84.46,3390.0,93.0,170.0,147.0,0.0
2022-02-07,84.47,3396.0,93.17,170.0,149.0,0.0
2022-02-08,84.49,3402.0,93.33,170.0,151.0,0.0
2022-02-09,84.5,3408.0,93.5,170.0,151.0,0.0
2022-02-10,84.53,3412.0,93.61,170.0,151.0,0.0
2022-02-11,84.55,3418.0,93.77,170.0,151.0,0.0
2022-02-12,84.56,3420.0,93.83,170.0,157.0,0.0
2022-02-13,84.57,3423.0,93.91,170.0,161.0,0.0
2022-02-14,84.58,3426.0,93.99,170.0,161.0,0.0
2022-02-15,84.58,3426.0,93.99,170.0,166.0,0.0
2022-02-16,84.58,3426.0,93.99,170.0,166.0,0.0
