date,level,storage,storage_pct,inflow,outflow,rainfall
2023-04-02,83.35,3108.0,85.27,225.0,167.0,0.0
2023-04-03,83.37,3113.0,85.4,225.0,167.0,0.0
2023-04-04,83.39,3118.0,85.54,225.0,167.0,0.0
2023-04-05,83.37,3113.0,85.4,108.0,167.0,0.0
2023-04-06,83.32,3099.0,85.02,0.0,167.0,0.0
2023-04-07,83.25,3080.0,84.5,0.0,220.0,0.0
2023-04-08,83.19,3064.0,84.06,0.0,185.0,0.0
2023-04-09,83.13,3048.0,83.62,0.0,185.0,0.0
2023-04-10,83.07,3033.0,83.21,0.0,174.0,0.0
2023-04-11,83.02,3019.0,82.83,0.0,162.0,0.0
2023-04-12,82.96,3002.0,82.36,0.0,197.0,0.0
2023-04-13,82.89,2984.0,81.87,0.0,208.0,0.0
2023-04-14,82.83,2968.0,81.43,0.0,0.0,0.0
2023-04-15,82.76,2950.0,80.93,0.0,208.0,0.0
2023-04-16,82.7,2934.0,80.49,0.0,185.0,0.0
2023-04-17,82.64,2918.0,80.05,0.0,185.0,0.0
2023-04-18,82.57,2900.0,79.56,0.0,208.0,0.0
2023-04-19,82.5,2882.0,79.07,0.0,208.0,0.0
2023-04-20,82.44,2864.0,78.57,0.0,208.0,0.0
2023-04-21,82.38,2850.0,78.19,0.0,162.0,0.0
2023-04-22,82.32,2835.0,77.78,0.0,174.0,0.0
2023-04-23,82.32,2835.0,77.78,173.0,173.0,9.8
2023-04-24,82.28,2825.0,77.5,55.0,171.0,0.0
2023-04-25,82.23,2812.0,77.15,22.0,172.0,0.0
2023-04-26,82.18,2799.0,76.79,22.0,172.0,0.0
2023-04-27,82.13,2786.0,76.43,22.0,172.0,0.0
2023-04-28,82.07,2771.0,76.02,0.0,174.0,0.0
2023-04-29,82.01,2756.0,75.61,0.0,174.0,0.0
2023-04-30,81.95,2741.0,75.2,0.0,174.0,0.0
2023-05-01,81.9,2725.0,74.76,0.0,185.0,0.0
2023-05-02,81.86,2718.0,74.57,103.0,184.0,9.0
2023-05-03,81.81,2705.0,74.21,35.0,185.0,0.0
2023-05-04,81.75,2690.0,73.8,11.0,185.0,0.0
2023-05-05,81.69,2675.0,73.39,0.0,174.0,0.0
2023-05-06,81.66,2670.0,73.25,113.0,171.0,5.0
2023-05-07,81.6,2653.0,72.78,0.0,197.0,0.0
2023-05-08,81.55,2640.0,72.43,0.0,174.0,0.0
2023-05-09,81.5,2628.0,72.1,0.0,139.0,0.0
2023-05-10,81.44,2613.0,71.69,0.0,174.0,0.0
2023-05-11,81.39,2601.0,71.36,0.0,139.0,0.0
